"Category";"1931 1960";"1961 1990";"1991 2020";"CIDADE"
"Janeiro";87.9;112.8;97.3;"RIO GRANDE"
"Feveveiro";99.4;100.7;128.7;"RIO GRANDE"
"Março";100.6;112.6;120;"RIO GRANDE"
"Abril";97.2;51.5;125.8;"RIO GRANDE"
"Maio";100.8;86.9;112;"RIO GRANDE"
"Junho";110.9;109.6;120.2;"RIO GRANDE"
"Julho";98;174.9;121.9;"RIO GRANDE"
"Agosto";119.5;126.2;114.8;"RIO GRANDE"
"Setembro";122.8;143.2;110.8;"RIO GRANDE"
"Outubro";97.8;81.2;106.2;"RIO GRANDE"
"Novembro";67.5;74.1;94;"RIO GRANDE"
"Dezembro";59.4;59.9;89.8;"RIO GRANDE"
"Janeiro";145.1;135;;"ALEGRETE"
"Feveveiro";109.1;137.9;;"ALEGRETE"
"Março";121;160.4;;"ALEGRETE"
"Abril";165.1;125.5;;"ALEGRETE"
"Maio";149.1;130.9;;"ALEGRETE"
"Junho";128.7;93.9;;"ALEGRETE"
"Julho";108.7;115.2;;"ALEGRETE"
"Agosto";107.6;90.8;;"ALEGRETE"
"Setembro";128.3;130.2;;"ALEGRETE"
"Outubro";191.3;158.4;;"ALEGRETE"
"Novembro";133.2;87.9;;"ALEGRETE"
"Dezembro";123.2;126.1;;"ALEGRETE"
"Janeiro";107.6;107.5;137.3;"BAGÉ"
"Feveveiro";95.8;113.9;129.1;"BAGÉ"
"Março";97.2;105.6;113.9;"BAGÉ"
"Abril";120.3;83.3;173.2;"BAGÉ"
"Maio";119.8;87.5;129.6;"BAGÉ"
"Junho";119.1;96.1;122.9;"BAGÉ"
"Julho";103.6;136;130.5;"BAGÉ"
"Agosto";112.1;109;112.6;"BAGÉ"
"Setembro";124.9;134.1;135.6;"BAGÉ"
"Outubro";133.7;132.1;176;"BAGÉ"
"Novembro";74.8;95.7;116.9;"BAGÉ"
"Dezembro";76.7;99.1;122.3;"BAGÉ"
"Janeiro";;143.8;;"BENTO GONÇALVES"
"Fevereiro";;133.1;;"BENTO GONÇALVES"
"Março";;137.1;;"BENTO GONÇALVES"
"Abril";;92.7;;"BENTO GONÇALVES"
"Maio";;106;;"BENTO GONÇALVES"
"Junho";;152.8;;"BENTO GONÇALVES"
"Julho";;158.6;;"BENTO GONÇALVES"
"Agosto";;173.5;;"BENTO GONÇALVES"
"Setembro";;171.1;;"BENTO GONÇALVES"
"Outubro";;153.2;;"BENTO GONÇALVES"
"Novembro";;116.2;;"BENTO GONÇALVES"
"Dezembro";;145.7;;"BENTO GONÇALVES"
"Janeiro";;192.6;178.7;"BOM JESUS"
"Fevereiro";;198.2;164.6;"BOM JESUS"
"Março";;173.8;121.7;"BOM JESUS"
"Abril";;91.7;111.9;"BOM JESUS"
"Maio";;134.6;118.9;"BOM JESUS"
"Junho";;135.5;135;"BOM JESUS"
"Julho";;157.7;177.9;"BOM JESUS"
"Agosto";;206.3;128.4;"BOM JESUS"
"Setembro";;160.5;165.9;"BOM JESUS"
"Outubro";;118.7;188;"BOM JESUS"
"Novembro";;115.5;138.1;"BOM JESUS"
"Dezembro";;122.2;157;"BOM JESUS"
"Janeiro";;138.4;;"CAÇAPAVA DO SUL"
"Fevereiro";;110.7;;"CAÇAPAVA DO SUL"
"Março";;174.7;;"CAÇAPAVA DO SUL"
"Abril";;91.6;;"CAÇAPAVA DO SUL"
"Maio";;98.1;;"CAÇAPAVA DO SUL"
"Junho";;152.7;;"CAÇAPAVA DO SUL"
"Julho";;177;;"CAÇAPAVA DO SUL"
"Agosto";;176.6;;"CAÇAPAVA DO SUL"
"Setembro";;175.5;;"CAÇAPAVA DO SUL"
"Outubro";;;;"CAÇAPAVA DO SUL"
"Novembro";;;;"CAÇAPAVA DO SUL"
"Dezembro";;;;"CAÇAPAVA DO SUL"
"Janeiro";;127.6;;CACHOEIRA DO SUL (CASA AZUL)
"Fevereiro";;111.2;;CACHOEIRA DO SUL (CASA AZUL)
"Março";;121.1;;CACHOEIRA DO SUL (CASA AZUL)
"Abril";;83.6;;CACHOEIRA DO SUL (CASA AZUL)
"Maio";;93.3;;CACHOEIRA DO SUL (CASA AZUL)
"Junho";;138.6;;CACHOEIRA DO SUL (CASA AZUL)
"Julho";;145.3;;CACHOEIRA DO SUL (CASA AZUL)
"Agosto";;157.4;;CACHOEIRA DO SUL (CASA AZUL)
"Setembro";;148.4;;CACHOEIRA DO SUL (CASA AZUL)
"Outubro";;124.9;;CACHOEIRA DO SUL (CASA AZUL)
"Novembro";;112.1;;CACHOEIRA DO SUL (CASA AZUL)
"Dezembro";;113.7;;CACHOEIRA DO SUL (CASA AZUL)
"Janeiro";;115.2;;"ITAQUI (VIMAER)"
"Fevereiro";;144.3;;"ITAQUI"
"Março";;186.5;;"ITAQUI"
"Abril";;110.8;;"ITAQUI"
"Maio";;112.5;;"ITAQUI"
"Junho";;82.9;;"ITAQUI"
"Julho";;65.9;;"ITAQUI"
"Agosto";;122.5;;"ITAQUI"
"Setembro";;102.6;;"ITAQUI"
"Outubro";;128;;"ITAQUI"
"Novembro";;91.1;;"ITAQUI"
"Dezembro";;107.1;;"ITAQUI"
"Janeiro";;167.3;;"LAGOA VERMELHA"
"Fevereiro";;145;;"LAGOA VERMELHA"
"Março";;144.6;;"LAGOA VERMELHA"
"Abril";;90.9;;"LAGOA VERMELHA"
"Maio";;107.1;;"LAGOA VERMELHA"
"Junho";;120.4;;"LAGOA VERMELHA"
"Julho";;122.1;;"LAGOA VERMELHA"
"Agosto";;194.3;;"LAGOA VERMELHA"
"Setembro";;191.4;;"LAGOA VERMELHA"
"Outubro";;158;;"LAGOA VERMELHA"
"Novembro";;112.1;;"LAGOA VERMELHA"
"Dezembro";;137.9;;"LAGOA VERMELHA"
"Janeiro";;138.5;;PALMEIRA DAS MISSÕES"
